ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-03T12:46:54.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:47:04.569+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:47:14.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:47:24.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:47:34.570+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:47:44.569+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:47:54.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:48:04.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:48:14.569+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:48:24.570+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:48:34.569+00:00,40.08,235186765824,throttled=0x0
2026-03-03T12:48:44.570+00:00,39.55,235186765824,throttled=0x0
2026-03-03T12:48:54.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:04.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:14.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:24.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:34.570+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:44.569+00:00,39.01,235186765824,throttled=0x0
2026-03-03T12:49:54.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:50:04.570+00:00,39.55,235186761728,throttled=0x0
2026-03-03T12:50:14.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:50:24.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:50:34.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:50:44.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:50:54.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:04.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:14.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:24.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:34.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:44.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:51:54.569+00:00,39.55,235186761728,throttled=0x0
2026-03-03T12:52:04.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:52:14.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:52:24.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:52:34.570+00:00,39.55,235186761728,throttled=0x0
2026-03-03T12:52:44.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:52:54.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:04.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:14.570+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:24.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:34.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:44.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:53:54.569+00:00,39.01,235186761728,throttled=0x0
2026-03-03T12:54:04.570+00:00,39.55,235186757632,throttled=0x0
2026-03-03T12:54:14.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:54:24.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:54:34.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:54:44.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:54:54.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:04.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:14.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:24.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:34.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:44.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:55:54.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:56:04.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:56:14.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:56:24.569+00:00,38.47,235186757632,throttled=0x0
2026-03-03T12:56:34.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:56:44.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:56:54.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:57:04.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:57:14.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:57:24.570+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:57:34.569+00:00,39.01,235186757632,throttled=0x0
2026-03-03T12:57:44.570+00:00,38.47,235186757632,throttled=0x0
2026-03-03T12:57:54.570+00:00,39.01,235186757632,throttled=0x0
