ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-15 20:30:00+00:00,24.83349,102659.288,1026.59288,5.0,1027.4066666666668,19.83349,-0.8137866666668288,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 20:40:00+00:00,25.0343,102653.78333333334,1026.5378333333333,5.0,1027.2733333333333,20.0343,-0.7355000000000018,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 20:50:00+00:00,25.0622,102639.533,1026.39533,5.0,1027.1399999999999,20.0622,-0.7446699999998145,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:00:00+00:00,25.03973,102619.538,1026.1953800000001,4.935185185185185,1027.0183333333332,20.104544814814815,-0.8229533333330892,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:10:00+00:00,25.02796,102628.276,1026.28276,4.842592592592593,1026.9016666666666,20.18536740740741,-0.6189066666665894,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:20:00+00:00,25.01036,102603.03,1026.0303,4.75,1026.785,20.26036,-0.7547000000001844,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:30:00+00:00,25.06046,102585.244,1025.8524400000001,4.657407407407407,1026.6683333333333,20.40305259259259,-0.8158933333331788,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:40:00+00:00,25.07579,102568.251,1025.68251,4.564814814814815,1026.5516666666667,20.51097518518519,-0.8691566666666404,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 21:50:00+00:00,25.066388888888888,102551.71333333332,1025.5171333333333,4.472222222222222,1026.4350000000002,20.594166666666666,-0.917866666666896,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 22:00:00+00:00,25.02927,102540.729,1025.40729,4.5092592592592595,1026.3300000000002,20.52001074074074,-0.9227100000000519,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 22:10:00+00:00,24.99401,102527.4,1025.274,4.601851851851852,1026.23,20.392158148148148,-0.956000000000131,39,Run 3 (2026-03-11),2026-03-11
