n_bins,end_ts_utc,elapsed_days,joint_p_value,amp_pct
3008,2026-03-29 04:10:00+00:00,28.166666666666668,0.05299311446834064,0.5453359810419496
3032,2026-03-29 08:10:00+00:00,28.333333333333332,0.04705043066415547,0.5547398237261721
3056,2026-03-29 12:10:00+00:00,28.5,0.060236833566882954,0.52811155242951
3080,2026-03-29 16:10:00+00:00,28.666666666666668,0.05809244356925315,0.5309130980071749
3104,2026-03-29 20:10:00+00:00,28.833333333333332,0.047469936950100336,0.5463260456163408
3128,2026-03-30 00:10:00+00:00,29.0,0.047607155907316824,0.5403481626314598
3152,2026-03-30 04:10:00+00:00,29.166666666666668,0.05459716780387953,0.5278516607166084
3176,2026-03-30 08:10:00+00:00,29.333333333333332,0.05813739971575682,0.5231136249774093
3200,2026-03-30 12:10:00+00:00,29.5,0.036069012508694105,0.5622208086986057
3224,2026-03-30 16:10:00+00:00,29.666666666666668,0.03292267378086856,0.567822192526462
3248,2026-03-30 20:10:00+00:00,29.833333333333332,0.03315901241141306,0.5689008337792396
3272,2026-03-31 00:10:00+00:00,30.0,0.027504873654964436,0.5795126631073912
3296,2026-03-31 04:10:00+00:00,30.166666666666668,0.02971360725723228,0.5699981735041745
3320,2026-03-31 08:10:00+00:00,30.333333333333332,0.025083679315278072,0.5821321916676301
3344,2026-03-31 12:10:00+00:00,30.5,0.016456834666730598,0.6079693837804274
3368,2026-03-31 16:10:00+00:00,30.666666666666668,0.014888811647094971,0.6116336925897333
3392,2026-03-31 20:10:00+00:00,30.833333333333332,0.014654631292821043,0.6117768078899651
3415,2026-04-01 00:00:00+00:00,30.993055555555557,0.011222750236190251,0.628760203436093
