window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean
2026-03-12T03:23:18.884+00:00,2026-03-12T03:24:18.885+00:00,60,28.5226,100328.61,83.1953
2026-03-12T03:24:18.886+00:00,2026-03-12T03:25:19.882+00:00,61,28.5214,100333.44,82.8029
2026-03-12T03:25:19.884+00:00,2026-03-12T03:26:20.882+00:00,61,28.5194,100333.85,82.7643
2026-03-12T03:26:20.883+00:00,2026-03-12T03:27:21.882+00:00,61,28.5170,100332.54,82.8676
2026-03-12T03:27:21.884+00:00,2026-03-12T03:28:22.882+00:00,61,28.5162,100338.64,82.3574
2026-03-12T03:28:22.885+00:00,2026-03-12T03:29:23.884+00:00,61,28.5192,100346.56,81.6896
2026-03-12T03:29:23.887+00:00,2026-03-12T03:30:24.880+00:00,61,28.5198,100354.38,81.0314
2026-03-12T03:30:24.881+00:00,2026-03-12T03:31:24.883+00:00,60,28.5202,100361.18,80.4772
2026-03-12T03:31:24.894+00:00,2026-03-12T03:32:25.881+00:00,61,28.5208,100363.19,80.3215
2026-03-12T03:32:25.883+00:00,2026-03-12T03:33:26.883+00:00,61,28.5218,100359.62,80.6020
2026-03-12T03:33:26.885+00:00,2026-03-12T03:34:27.883+00:00,61,28.5242,100350.16,81.3746
2026-03-12T03:34:27.885+00:00,2026-03-12T03:35:28.882+00:00,61,28.5305,100345.43,81.7830
2026-03-12T03:35:28.884+00:00,2026-03-12T03:36:28.884+00:00,60,28.5322,100335.65,82.6075
2026-03-12T03:36:28.892+00:00,2026-03-12T03:37:29.881+00:00,61,28.5304,100331.69,82.9245
2026-03-12T03:37:29.883+00:00,2026-03-12T03:38:30.881+00:00,61,28.5244,100330.82,83.0040
2026-03-12T03:38:30.883+00:00,2026-03-12T03:39:31.881+00:00,61,28.5175,100339.99,82.2565
2026-03-12T03:39:31.882+00:00,2026-03-12T03:40:32.882+00:00,61,28.5132,100340.79,82.1756
2026-03-12T03:40:32.895+00:00,2026-03-12T03:41:33.880+00:00,61,28.5076,100341.95,82.0793
2026-03-12T03:41:33.882+00:00,2026-03-12T03:42:33.883+00:00,60,28.4984,100334.65,82.7197
2026-03-12T03:42:33.895+00:00,2026-03-12T03:43:34.883+00:00,61,28.4847,100340.11,82.3046
2026-03-12T03:43:34.885+00:00,2026-03-12T03:44:35.882+00:00,61,28.4740,100334.84,82.7331
2026-03-12T03:44:35.884+00:00,2026-03-12T03:45:36.881+00:00,61,28.4656,100340.39,82.2705
2026-03-12T03:45:36.883+00:00,2026-03-12T03:46:37.883+00:00,61,28.4612,100352.12,81.2809
2026-03-12T03:46:37.886+00:00,2026-03-12T03:47:38.880+00:00,61,28.4608,100361.88,80.4940
2026-03-12T03:47:38.882+00:00,2026-03-12T03:48:38.884+00:00,60,28.4596,100368.35,79.9516
2026-03-12T03:48:38.885+00:00,2026-03-12T03:49:39.882+00:00,61,28.4581,100378.39,79.1184
